Billboard,Digits,RoutingFormat,Region,Persona,Notes
470-STORM,470-287-8676,4702878676,Georgia,STORM,Primary
727-STORM,727-387-8676,7273878676,Florida,STORM,Tampa Bay
786-STORM,786-677-8676,7866778676,Florida,STORM,Miami
623-STORM,623-777-8676,6237778676,Arizona,STORM,Phoenix
213-STORM,213-423-7865,2134237865,California,STORM,Los Angeles
443-STORM,443-437-8657,4434378657,Maryland,STORM,Baltimore
770-STORM,770-230-0635,7702300635,Georgia,STORM,Atlanta suburbs
478-STORM,478-242-4246,4782424246,Georgia,STORM,Macon
321-STORM,321-559-0559,3215590559,Florida,STORM,Space Coast
321-STORM,321-485-8333,3214858333,Florida,STORM,Space Coast (alt)
912-COASTAL,912-910-6333,9129106333,Georgia,STORM,Coastal regions
262-HAIL,262-397-4245,2623974245,Wisconsin,HAIL,Milwaukee suburbs
414-HAIL,414-676-6337,4146766337,Wisconsin,HAIL,Milwaukee
909-ROOF,909-488-7663,9094887663,California,HAIL,San Bernardino
539-ROOF,539-476-7663,5394767663,Oklahoma,HAIL,Tulsa
833-HVAC-AI,833-760-4328,8337604328,Toll-free,HVAC,Primary routing
833-HVAC-NOW,833-602-4822,8336024822,Toll-free,HVAC,Urgent requests
833-HVAC-CALL,833-522-2653,8335222653,Toll-free,HVAC,General inquiries
844-CLAIM,844-725-2460,8447252460,Toll-free,CLAIMS,Primary
855-CLAIM,855-706-2533,8557062533,Toll-free,CLAIMS,Overflow
877-CLAIM,877-570-9775,8775709775,Toll-free,CLAIMS,Overflow
888-CLAIM-REP,888-712-0268,8887120268,Toll-free,CLAIMS,Representative
888-CLAIM-CHK,888-681-2729,8886812729,Toll-free,CLAIMS,Status check
888-LAW-AI,888-505-2924,8885052924,Toll-free,LAW,AI-powered legal
833-LAW-AI,833-445-2924,8334452924,Toll-free,LAW,AI-powered legal (alt)
888-LAW-CALL,888-649-0529,8886490529,Toll-free,LAW,General inquiries
888-LAW-CASE,888-653-2529,8886532529,Toll-free,LAW,Case evaluation
888-LAW-HELP,888-763-1529,8887631529,Toll-free,LAW,Legal help
888-LAW-NOW,888-974-0529,8889740529,Toll-free,LAW,Urgent legal
888-LAW-DOCS,888-643-0529,8886430529,Toll-free,LAW,Document services
888-LAW-ESC,888-611-5384,8886115384,Toll-free,LAW,Escalation
888-BUCK-AI,888-676-2825,8886762825,Toll-free,MONEY,Payment assistance
888-CASH-AI,888-678-0645,8886780645,Toll-free,MONEY,Cash services
866-BANK-AI,866-506-2265,8665062265,Toll-free,MONEY,Banking services
844-NEED-AI,844-669-6333,8446696333,Toll-free,NEED,General assistance
888-TRUST-AI,888-474-8738,8884748738,Toll-free,NEED,Trust/verify
888-HELP-AI,888-344-2825,8883442825,Toll-free,NEED,Help routing
888-ASSIST,888-855-0209,8888550209,Toll-free,NEED,Assistance
844-ROUTE,844-756-1580,8447561580,Toll-free,NEED,Call routing
844-HAIL,844-967-4245,8449674245,Toll-free,NEED,Hail routing
844-HAIL,844-985-4245,8449854245,Toll-free,NEED,Hail routing (alt)
888-HAIL-AI,888-675-4245,8886754245,Toll-free,NEED,AI hail routing
